Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9704.01, Carteret County, North Carolina!!Total!!Margin of Error",,±136,±13,±75,±43,±108,±185,±35,±78,±109,±97,±103,±72,±21,±166,±75,±103,±96,±26,±45,±45,±26,±127,±103,±38,±84,±67,±50,,±175,±158,±75,±175,±158,±75,±72,±69,±13,±13,±13,±13,±21,±21,±21,±13,±13,±13,±13,±13,±13,±13,±13,±8,±10,±10,±13,,(X),(X),(X),(X),,"±3,082","±5,098",**,"±2,285","±46,247","±3,065"
"Census Tract 9704.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,24.60%,19.50%,55.90%,(X),2.80%,12.30%,28.90%,25.90%,15.80%,12.60%,1.70%,84.90%,14.30%,(X),89.00%,14.00%,(X),79.80%,29.80%,(X),85.20%,11.30%,(X),83.80%,14.30%,,(X),84.40%,13.90%,(X),84.30%,14.00%,(X),86.10%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,26.70%,(X),100.00%,0.00%,,28.30%,6.80%,13.30%,23.40%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±15.5,±27.7,±20.1,±32.1,(X),±3.1,±6.4,±8.5,±8.4,±7.7,±6.2,±1.8,±5.9,±6.4,(X),±11.1,±12.6,(X),±24.3,±25.9,(X),±10.4,±10.0,(X),±10.5,±10.7,,(X),±6.4,±7.0,(X),±6.4,±7.1,(X),±23.1,±36.9,(X),**,**,(X),±84.9,±84.9,(X),**,**,(X),**,**,(X),±84.9,±45.4,(X),±100.0,±100.0,,±21.7,±10.7,±10.8,±18.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Male!!Estimate",,25,0,6,9,10,557,0,88,189,126,79,73,2,469,75,153,131,6,48,31,20,228,194,24,128,113,25,,463,386,60,463,386,60,72,61,0,0,0,0,15,15,15,0,0,0,0,0,0,7,7,0,0,0,0,,(X),(X),(X),(X),,"30,357","18,750","55,750","30,532",-,-
"Census Tract 9704.01, Carteret County, North Carolina!!Male!!Margin of Error",,±23,±13,±10,±17,±15,±134,±13,±58,±80,±82,±79,±41,±3,±128,±42,±89,±85,±7,±31,±28,±22,±100,±93,±32,±47,±42,±20,,±121,±118,±42,±121,±118,±42,±71,±68,±13,±13,±13,±13,±21,±21,±21,±13,±13,±13,±13,±13,±13,±11,±11,±13,±13,±13,±13,,(X),(X),(X),(X),,"±2,689","±3,777","±39,839","±2,069",**,**
"Census Tract 9704.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,24.00%,36.00%,40.00%,(X),0.00%,15.80%,33.90%,22.60%,14.20%,13.10%,0.40%,84.20%,13.50%,(X),85.60%,3.90%,(X),64.60%,41.70%,(X),85.10%,10.50%,(X),88.30%,19.50%,,(X),83.40%,13.00%,(X),83.40%,13.00%,(X),84.70%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,12.50%,11.10%,0.00%,32.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±65.8,±43.3,±43.4,±51.6,(X),±6.9,±10.0,±14.1,±13.2,±12.6,±7.5,±0.6,±10.0,±7.6,(X),±15.8,±5.2,(X),±37.4,±37.4,(X),±18.0,±15.3,(X),±17.5,±16.7,,(X),±11.3,±8.8,(X),±11.3,±8.8,(X),±27.0,±38.8,(X),**,**,(X),±84.9,±84.9,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,,±18.1,±17.3,±17.6,±32.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Female!!Estimate",,211,0,52,37,122,585,32,52,141,170,102,71,17,501,88,47,47,22,36,36,5,197,168,24,305,250,37,,570,486,84,564,480,84,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,6,6,0,,(X),(X),(X),(X),,"22,326",-,"22,100","19,205","47,917",-
"Census Tract 9704.01, Carteret County, North Carolina!!Female!!Margin of Error",,±133,±13,±74,±36,±107,±107,±35,±47,±62,±76,±59,±53,±21,±91,±56,±37,±37,±24,±33,±33,±8,±60,±56,±18,±80,±62,±44,,±105,±86,±55,±104,±86,±55,±11,±11,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±10,±10,±8,±10,±10,±13,,(X),(X),(X),(X),,"±6,454",**,"±3,230","±10,401","±23,430",**
"Census Tract 9704.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,24.60%,17.50%,57.80%,(X),5.50%,8.90%,24.10%,29.10%,17.40%,12.10%,2.90%,85.60%,15.00%,(X),100.00%,46.80%,(X),100.00%,13.90%,(X),85.30%,12.20%,(X),82.00%,12.10%,,(X),85.30%,14.70%,(X),85.10%,14.90%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,50.00%,(X),100.00%,0.00%,,46.20%,0.00%,23.90%,14.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±17.2,±30.7,±19.2,±34.4,(X),±5.8,±7.6,±10.3,±12.2,±9.6,±8.6,±3.6,±8.9,±9.0,(X),±48.0,±33.9,(X),±54.8,±24.1,(X),±16.4,±9.6,(X),±13.1,±13.9,,(X),±9.1,±9.3,(X),±9.2,±9.4,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±50.0,(X),±100.0,±100.0,,±36.4,±28.4,±18.7,±19.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Total!!Estimate",,104,10,51,36,7,"1,019",61,121,262,167,88,191,129,837,320,231,229,119,106,78,5,428,330,85,254,200,111,,746,634,290,730,619,290,160,132,23,6,0,0,15,0,0,0,0,0,4,4,0,88,67,7,47,19,0,,(X),(X),(X),(X),,"28,625",-,"26,667","26,528","24,943","40,972"
"Census Tract 9704.02, Carteret County, North Carolina!!Total!!Margin of Error",,±56,±14,±45,±27,±10,±179,±48,±116,±92,±55,±32,±73,±63,±153,±105,±106,±106,±82,±56,±42,±8,±127,±81,±38,±61,±61,±51,,±162,±124,±104,±161,±124,±104,±64,±58,±25,±19,±13,±13,±23,±13,±13,±13,±13,±13,±10,±10,±13,±55,±63,±10,±48,±21,±13,,(X),(X),(X),(X),,"±9,514",**,"±4,984","±3,218","±22,763","±35,634"
"Census Tract 9704.02, Carteret County, North Carolina!!Percent!!Estimate",,(X),9.60%,49.00%,34.60%,6.70%,(X),6.00%,11.90%,25.70%,16.40%,8.60%,18.70%,12.70%,82.10%,31.40%,(X),99.10%,51.50%,(X),73.60%,4.70%,(X),77.10%,19.90%,(X),78.70%,43.70%,,(X),85.00%,38.90%,(X),84.80%,39.70%,(X),82.50%,14.40%,(X),0.00%,0.00%,(X),0.00%,0.00%,(X),-,-,(X),100.00%,0.00%,(X),76.10%,8.00%,(X),40.40%,0.00%,,26.90%,39.70%,8.60%,6.60%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±14.3,±26.3,±21.6,±10.3,(X),±4.7,±10.3,±9.0,±5.0,±3.0,±6.8,±5.6,±11.4,±9.0,(X),±2.0,±23.1,(X),±25.4,±8.5,(X),±22.2,±9.8,(X),±14.0,±15.7,,(X),±13.8,±11.3,(X),±14.0,±11.7,(X),±13.9,±14.0,(X),±100.0,±100.0,(X),±84.9,±84.9,(X),**,**,(X),±100.0,±100.0,(X),±37.6,±12.0,(X),±31.2,±48.0,,±24.5,±17.5,±8.1,±6.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Male!!Estimate",,33,0,16,10,7,505,5,104,123,94,24,115,40,396,155,90,88,50,54,52,0,245,149,42,116,107,63,,403,300,138,396,294,138,82,77,10,1,0,0,0,0,0,0,0,0,4,4,0,15,15,7,12,10,0,,(X),(X),(X),(X),,"41,172","68,350","27,778","28,750",-,-
"Census Tract 9704.02, Carteret County, North Carolina!!Male!!Margin of Error",,±41,±13,±23,±20,±10,±131,±9,±115,±48,±41,±17,±57,±26,±66,±63,±55,±54,±43,±26,±26,±13,±114,±40,±24,±39,±40,±39,,±131,±64,±60,±131,±64,±60,±32,±34,±14,±3,±13,±13,±13,±13,±13,±13,±13,±13,±10,±10,±13,±15,±15,±10,±15,±14,±13,,(X),(X),(X),(X),,"±24,043","±26,773","±8,066","±14,919",**,**
"Census Tract 9704.02, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,48.50%,30.30%,21.20%,(X),1.00%,20.60%,24.40%,18.60%,4.80%,22.80%,7.90%,78.40%,30.70%,(X),97.80%,55.60%,(X),96.30%,0.00%,(X),60.80%,17.10%,(X),92.20%,54.30%,,(X),74.40%,34.20%,(X),74.20%,34.80%,(X),93.90%,12.20%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,46.70%,(X),83.30%,0.00%,,5.50%,25.20%,5.10%,13.50%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±57.3,±37.3,±38.0,±44.7,(X),±1.8,±18.7,±11.6,±8.2,±3.7,±11.5,±5.2,±18.6,±12.7,(X),±5.0,±27.2,(X),±8.4,±44.8,(X),±32.0,±12.4,(X),±13.3,±23.1,,(X),±22.3,±15.5,(X),±22.5,±15.8,(X),±14.5,±16.3,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±84.9,±53.3,(X),±33.4,±95.0,,±16.3,±19.1,±7.9,±13.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Female!!Estimate",,71,10,35,26,0,514,56,17,139,73,64,76,89,441,165,141,141,69,52,26,5,183,181,43,138,93,48,,343,334,152,334,325,152,78,55,13,5,0,0,15,0,0,0,0,0,0,0,0,73,52,0,35,9,0,,(X),(X),(X),(X),,"25,507",-,"25,833","26,019","36,500",-
"Census Tract 9704.02, Carteret County, North Carolina!!Female!!Margin of Error",,±37,±14,±34,±23,±13,±111,±46,±17,±76,±37,±28,±39,±52,±118,±60,±74,±74,±49,±42,±21,±8,±65,±66,±26,±51,±38,±24,,±78,±79,±60,±79,±80,±60,±44,±36,±19,±17,±13,±13,±23,±13,±13,±13,±13,±13,±13,±13,±13,±52,±61,±13,±39,±14,±13,,(X),(X),(X),(X),,"±3,093",**,"±13,926","±3,548","±15,670",**
"Census Tract 9704.02, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),14.10%,49.30%,36.60%,0.00%,(X),10.90%,3.30%,27.00%,14.20%,12.50%,14.80%,17.30%,85.80%,32.10%,(X),100.00%,48.90%,(X),50.00%,9.60%,(X),98.90%,23.50%,(X),67.40%,34.80%,,(X),97.40%,44.30%,(X),97.30%,45.50%,(X),70.50%,16.70%,(X),0.00%,0.00%,(X),0.00%,0.00%,(X),-,-,(X),-,-,(X),71.20%,0.00%,(X),25.70%,0.00%,,58.90%,52.50%,11.70%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.02, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±20.3,±33.5,±32.1,±39.0,(X),±9.0,±3.4,±12.5,±6.4,±5.1,±7.4,±8.8,±10.0,±9.5,(X),±24.3,±28.7,(X),±36.7,±18.5,(X),±2.3,±14.5,(X),±20.6,±15.4,,(X),±3.5,±11.1,(X),±3.6,±11.4,(X),±21.6,±22.5,(X),±100.0,±100.0,(X),±84.9,±84.9,(X),**,**,(X),**,**,(X),±47.5,±38.5,(X),±35.3,±55.6,,±29.7,±24.4,±12.8,±21.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Total!!Estimate",,180,78,18,77,7,932,24,32,124,212,156,258,126,876,384,83,83,45,129,129,20,314,298,105,406,366,214,,787,731,379,787,731,379,2,2,0,0,0,0,0,0,0,4,4,0,5,5,0,134,134,5,98,98,0,,(X),(X),(X),(X),,"29,688",-,-,"28,224","75,978",-
"Census Tract 9704.03, Carteret County, North Carolina!!Total!!Margin of Error",,±81,±41,±17,±44,±12,±159,±21,±25,±51,±108,±71,±63,±46,±145,±79,±44,±44,±35,±61,±61,±15,±120,±120,±46,±96,±75,±57,,±150,±137,±78,±150,±137,±78,±8,±8,±13,±13,±13,±13,±13,±13,±13,±9,±9,±13,±8,±8,±13,±67,±67,±8,±57,±57,±13,,(X),(X),(X),(X),,"±18,745",**,**,"±24,801","±12,547",**
"Census Tract 9704.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),43.30%,10.00%,42.80%,3.90%,(X),2.60%,3.40%,13.30%,22.70%,16.70%,27.70%,13.50%,94.00%,41.20%,(X),100.00%,54.20%,(X),100.00%,15.50%,(X),94.90%,33.40%,(X),90.10%,52.70%,,(X),92.90%,48.20%,(X),92.90%,48.20%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,3.70%,(X),100.00%,0.00%,,0.00%,30.60%,1.70%,8.80%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±11.3,±9.5,±11.3,±7.5,(X),±2.2,±2.5,±5.4,±9.8,±7.0,±6.8,±5.1,±3.8,±8.7,(X),±35.9,±31.2,(X),±26.2,±13.1,(X),±6.4,±14.3,(X),±6.7,±13.0,,(X),±4.5,±9.5,(X),±4.5,±9.5,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±25.4,±6.7,(X),±32.2,±32.2,,±52.0,±26.2,±2.3,±9.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Male!!Estimate",,88,0,18,63,7,437,17,9,35,165,20,141,50,411,191,38,38,26,24,24,12,184,175,57,191,174,96,,431,405,191,431,405,191,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,"27,325",-,-,"26,530","83,482",-
"Census Tract 9704.03, Carteret County, North Carolina!!Male!!Margin of Error",,±45,±13,±17,±43,±12,±117,±17,±11,±25,±107,±17,±41,±24,±114,±45,±24,±24,±20,±16,±16,±12,±112,±112,±31,±46,±38,±33,,±115,±112,±45,±115,±112,±45,±8,±8,±13,±13,±13,±13,±13,±13,±13,±9,±9,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,"±27,123",**,**,±531,"±28,960",**
"Census Tract 9704.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,20.50%,71.60%,8.00%,(X),3.90%,2.10%,8.00%,37.80%,4.60%,32.30%,11.40%,94.10%,43.70%,(X),100.00%,68.40%,(X),100.00%,50.00%,(X),95.10%,31.00%,(X),91.10%,50.30%,,(X),94.00%,44.30%,(X),94.00%,44.30%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,,0.00%,33.30%,0.00%,7.90%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±34.6,±20.9,±23.8,±14.5,(X),±4.0,±2.6,±6.2,±16.4,±4.2,±10.6,±6.1,±5.4,±12.8,(X),±53.4,±30.2,(X),±67.2,±41.5,(X),±9.7,±20.7,(X),±8.6,±17.5,,(X),±5.5,±12.8,(X),±5.5,±12.8,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,,±77.5,±43.4,±19.3,±9.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Female!!Estimate",,92,78,0,14,0,495,7,23,89,47,136,117,76,465,193,45,45,19,105,105,8,130,123,48,215,192,118,,356,326,188,356,326,188,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,134,134,5,98,98,0,,(X),(X),(X),(X),,"43,750",-,-,"45,806","30,313",-
"Census Tract 9704.03, Carteret County, North Carolina!!Female!!Margin of Error",,±45,±41,±13,±17,±13,±97,±11,±24,±44,±29,±70,±44,±39,±84,±53,±33,±33,±17,±58,±58,±8,±46,±47,±30,±67,±53,±41,,±78,±63,±52,±78,±63,±52,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±8,±8,±13,±67,±67,±8,±57,±57,±13,,(X),(X),(X),(X),,"±30,229",**,**,±544,"±10,964",**
"Census Tract 9704.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),84.80%,0.00%,15.20%,0.00%,(X),1.40%,4.60%,18.00%,9.50%,27.50%,23.60%,15.40%,93.90%,39.00%,(X),100.00%,42.20%,(X),100.00%,7.60%,(X),94.60%,36.90%,(X),89.30%,54.90%,,(X),91.60%,52.80%,(X),91.60%,52.80%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,3.70%,(X),100.00%,0.00%,,0.00%,29.60%,3.50%,9.70%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9704.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±16.7,±33.6,±16.7,±33.6,(X),±2.2,±4.5,±8.5,±6.2,±11.8,±8.6,±8.2,±5.0,±10.5,(X),±49.0,±38.5,(X),±30.6,±9.4,(X),±8.7,±16.9,(X),±9.5,±13.2,,(X),±6.6,±10.4,(X),±6.6,±10.4,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±25.4,±6.7,(X),±32.2,±32.2,,±70.1,±34.4,±5.1,±10.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Total!!Estimate",,281,0,133,138,10,"2,230",26,130,782,615,239,253,185,"2,074",438,562,562,170,317,300,28,852,736,131,499,476,109,,"1,965","1,833",413,"1,780","1,692",370,65,42,9,0,0,0,56,56,16,0,0,0,1,0,0,143,143,0,186,141,43,,(X),(X),(X),(X),,"30,655","21,715","25,169","30,965","96,856","70,227"
"Census Tract 9705.01, Carteret County, North Carolina!!Total!!Margin of Error",,±124,±13,±80,±78,±19,±346,±31,±91,±170,±198,±118,±111,±148,±332,±204,±223,±223,±130,±111,±111,±28,±175,±171,±64,±137,±143,±124,,±298,±300,±197,±306,±303,±210,±55,±41,±13,±13,±13,±13,±54,±54,±24,±13,±13,±13,±2,±13,±13,±160,±160,±13,±146,±134,±47,,(X),(X),(X),(X),,"±6,580","±4,372","±14,185","±7,320","±31,141","±54,381"
"Census Tract 9705.01, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,47.30%,49.10%,3.60%,(X),1.20%,5.80%,35.10%,27.60%,10.70%,11.30%,8.30%,93.00%,19.60%,(X),100.00%,30.20%,(X),94.60%,8.80%,(X),86.40%,15.40%,(X),95.40%,21.80%,,(X),93.30%,21.00%,(X),95.10%,20.80%,(X),64.60%,13.80%,(X),-,-,(X),100.00%,28.60%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,0.00%,(X),75.80%,23.10%,,46.80%,18.20%,4.70%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±13.2,±19.1,±16.7,±7.1,(X),±1.4,±3.9,±7.1,±7.5,±4.7,±5.0,±6.3,±4.1,±8.6,(X),±6.9,±21.9,(X),±5.9,±9.1,(X),±10.2,±7.4,(X),±6.6,±19.7,,(X),±4.4,±9.1,(X),±3.2,±10.6,(X),±43.5,±16.8,(X),**,**,(X),±44.0,±26.9,(X),**,**,(X),±100.0,±100.0,(X),±24.1,±24.1,(X),±36.8,±28.4,,±30.0,±7.0,±4.8,±8.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Male!!Estimate",,57,0,23,34,0,"1,148",26,75,445,293,38,203,68,"1,047",271,367,367,148,138,121,0,416,349,60,227,210,63,,985,908,255,850,817,212,38,15,0,0,0,0,16,16,16,0,0,0,1,0,0,108,108,0,136,91,43,,(X),(X),(X),(X),,"31,771","21,715","30,139","31,186","97,938",-
"Census Tract 9705.01, Carteret County, North Carolina!!Male!!Margin of Error",,±48,±13,±31,±35,±13,±225,±31,±77,±127,±157,±33,±108,±74,±208,±131,±165,±165,±96,±87,±86,±13,±121,±113,±48,±69,±73,±69,,±187,±184,±124,±170,±172,±133,±39,±17,±13,±13,±13,±13,±24,±24,±24,±13,±13,±13,±2,±13,±13,±122,±122,±13,±107,±90,±47,,(X),(X),(X),(X),,"±7,132","±4,372","±11,961","±16,017","±1,549",**
"Census Tract 9705.01, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,40.40%,59.60%,0.00%,(X),2.30%,6.50%,38.80%,25.50%,3.30%,17.70%,5.90%,91.20%,23.60%,(X),100.00%,40.30%,(X),87.70%,0.00%,(X),83.90%,14.40%,(X),92.50%,27.80%,,(X),92.20%,25.90%,(X),96.10%,24.90%,(X),39.50%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,0.00%,(X),66.90%,31.60%,,23.80%,19.60%,0.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±43.6,±38.9,±38.9,±43.6,(X),±2.8,±6.3,±11.2,±12.3,±2.8,±8.4,±6.4,±6.7,±10.2,(X),±10.3,±25.4,(X),±15.4,±24.8,(X),±17.1,±11.0,(X),±13.1,±24.3,,(X),±7.3,±10.5,(X),±4.1,±13.1,(X),±50.2,±53.4,(X),**,**,(X),±82.2,±82.2,(X),**,**,(X),±100.0,±100.0,(X),±30.0,±30.0,(X),±45.9,±36.6,,±34.2,±10.2,±0.7,±13.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Female!!Estimate",,224,0,110,104,10,"1,082",0,55,337,322,201,50,117,"1,027",167,195,195,22,179,179,28,436,387,71,272,266,46,,980,925,158,930,875,158,27,27,9,0,0,0,40,40,0,0,0,0,0,0,0,35,35,0,50,50,0,,(X),(X),(X),(X),,"26,756",-,"15,268","30,486",-,"49,107"
"Census Tract 9705.01, Carteret County, North Carolina!!Female!!Margin of Error",,±108,±13,±75,±71,±19,±188,±13,±45,±100,±106,±108,±40,±85,±174,±94,±104,±104,±53,±67,±67,±28,±113,±104,±43,±88,±87,±59,,±181,±167,±93,±185,±173,±93,±27,±27,±13,±13,±13,±13,±35,±35,±13,±13,±13,±13,±13,±13,±13,±48,±48,±13,±55,±55,±13,,(X),(X),(X),(X),,"±10,540",**,"±12,543","±11,925",**,"±33,550"
"Census Tract 9705.01, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,49.10%,46.40%,4.50%,(X),0.00%,5.10%,31.10%,29.80%,18.60%,4.60%,10.80%,94.90%,15.40%,(X),100.00%,11.30%,(X),100.00%,15.60%,(X),88.80%,16.30%,(X),97.80%,16.90%,,(X),94.40%,16.10%,(X),94.10%,17.00%,(X),100.00%,33.30%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,89.10%,16.30%,7.50%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.01, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±16.3,±24.4,±21.6,±9.4,(X),±3.6,±4.0,±8.1,±8.3,±9.3,±3.8,±7.6,±4.0,±8.4,(X),±18.4,±29.3,(X),±19.9,±16.4,(X),±9.4,±10.4,(X),±4.1,±17.8,,(X),±4.4,±9.2,(X),±4.7,±9.7,(X),±63.3,±35.6,(X),**,**,(X),±52.0,±52.0,(X),**,**,(X),**,**,(X),±55.6,±55.6,(X),±46.5,±46.5,,±22.5,±11.0,±7.4,±21.1,,(X),(X),(X),(X),(X),(X)
"Census Tract 9705.02, Carteret County, North Carolina!!Total!!Estimate",,80,17,42,18,3,"1,782",9,119,324,434,191,451,254,"1,654",705,273,264,168,206,206,132,699,594,183,604,590,222,,"1,728","1,600",684,"1,728","1,600",684,34,34,8,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13,9,9,6,,(X),(X),(X),(X),,"43,935",-,"21,905","34,500","59,728","39,306"
"Census Tract 9705.02, Carteret County, North Carolina!!Total!!Margin of Error",,±49,±18,±37,±20,±5,±207,±13,±95,±84,±97,±65,±110,±66,±170,±127,±96,±96,±87,±52,±52,±44,±119,±77,±60,±123,±123,±62,,±209,±170,±126,±209,±170,±126,±42,±42,±14,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±22,±22,±15,±19,±19,±13,,(X),(X),(X),(X),,"±13,375",**,"±17,471","±10,491","±8,087","±20,245"
"Census Tract 9705.02, Carteret County, North Carolina!!Percent!!Estimate",,(X),21.30%,52.50%,22.50%,3.80%,(X),0.50%,6.70%,18.20%,24.40%,10.70%,25.30%,14.30%,92.80%,39.60%,(X),96.70%,61.50%,(X),100.00%,64.10%,(X),85.00%,26.20%,(X),97.70%,36.80%,,(X),92.60%,39.60%,(X),92.60%,39.60%,(X),100.00%,23.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,65.00%,(X),100.00%,66.70%,,30.50%,3.40%,3.50%,1.70%,,(X),(X),(X),(X),(X),(X)
